date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:16:40	276/276	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2005%20Sep%202026%2013:16:38%20GMT	https://up2client.com/robots.txt		(from )
18:16:41	95192/95192	---M-Z	200	added ('OK')	text/html	etag:%22173d8-64a0c79eddbc2-gzip%22	https://up2client.com/envato/ned-smith/html/main/Version1/	C:/Users/Dell/Documents/Personal%20Portfolio/up2client.com/envato/ned-smith/html/main/Version1/index.html	(from )
18:16:41	2179/2179	---M--	200	added ('OK')	image/svg+xml	etag:%22883-64a0c7a7665f6%22	https://up2client.com/envato/ned-smith/html/main/Version1/assets/images/svg/favicon.svg	C:/Users/Dell/Documents/Personal%20Portfolio/up2client.com/envato/ned-smith/html/main/Version1/assets/images/svg/favicon.svg	(from https://up2client.com/envato/ned-smith/html/main/Version1/)
18:16:41	232115/232115	---M-Z	200	added ('OK')	text/css	etag:%2238ab3-64a0c79f6b574-gzip%22	https://up2client.com/envato/ned-smith/html/main/Version1/assets/css/bootstrap.min.css	C:/Users/Dell/Documents/Personal%20Portfolio/up2client.com/envato/ned-smith/html/main/Version1/assets/css/bootstrap.min.css	(from https://up2client.com/envato/ned-smith/html/main/Version1/)
18:16:41	6147/6147	---M-Z	200	added ('OK')	text/css	etag:%221803-64a0c79f83c17-gzip%22	https://up2client.com/envato/ned-smith/html/main/Version1/assets/css/swap.css	C:/Users/Dell/Documents/Personal%20Portfolio/up2client.com/envato/ned-smith/html/main/Version1/assets/css/swap.css	(from https://up2client.com/envato/ned-smith/html/main/Version1/)
18:16:42	13930/13930	---M-Z	200	added ('OK')	text/css	etag:%22366a-64a0c79f93619-gzip%22	https://up2client.com/envato/ned-smith/html/main/Version1/assets/css/swiper.min.css	C:/Users/Dell/Documents/Personal%20Portfolio/up2client.com/envato/ned-smith/html/main/Version1/assets/css/swiper.min.css	(from https://up2client.com/envato/ned-smith/html/main/Version1/)
18:16:42	39565/39565	---M-Z	200	added ('OK')	text/css	etag:%229a8d-64a0c79f7ceb6-gzip%22	https://up2client.com/envato/ned-smith/html/main/Version1/assets/css/style.css	C:/Users/Dell/Documents/Personal%20Portfolio/up2client.com/envato/ned-smith/html/main/Version1/assets/css/style.css	(from https://up2client.com/envato/ned-smith/html/main/Version1/)
18:16:42	10895/10895	---M-Z	200	added ('OK')	text/css	etag:%222a8f-64a0c79f676f3-gzip%22	https://up2client.com/envato/ned-smith/html/main/Version1/assets/css/media-query.css	C:/Users/Dell/Documents/Personal%20Portfolio/up2client.com/envato/ned-smith/html/main/Version1/assets/css/media-query.css	(from https://up2client.com/envato/ned-smith/html/main/Version1/)
18:16:42	24836/24836	---M--	200	added ('OK')	image/jpeg	etag:%226104-64a0c7a3a373d%22	https://up2client.com/envato/ned-smith/html/main/Version1/assets/images/home/profile-img.jpg	C:/Users/Dell/Documents/Personal%20Portfolio/up2client.com/envato/ned-smith/html/main/Version1/assets/images/home/profile-img.jpg	(from https://up2client.com/envato/ned-smith/html/main/Version1/)
18:16:42	920/920	---M--	200	added ('OK')	image/svg+xml	etag:%22398-64a0c7a7934bc%22	https://up2client.com/envato/ned-smith/html/main/Version1/assets/images/svg/home.svg	C:/Users/Dell/Documents/Personal%20Portfolio/up2client.com/envato/ned-smith/html/main/Version1/assets/images/svg/home.svg	(from https://up2client.com/envato/ned-smith/html/main/Version1/)
18:16:43	897/897	---M--	200	added ('OK')	image/svg+xml	etag:%22381-64a0c7a67b039%22	https://up2client.com/envato/ned-smith/html/main/Version1/assets/images/svg/about.svg	C:/Users/Dell/Documents/Personal%20Portfolio/up2client.com/envato/ned-smith/html/main/Version1/assets/images/svg/about.svg	(from https://up2client.com/envato/ned-smith/html/main/Version1/)
18:16:43	1138/1138	---M--	200	added ('OK')	image/svg+xml	etag:%22472-64a0c7a8058eb%22	https://up2client.com/envato/ned-smith/html/main/Version1/assets/images/svg/services.svg	C:/Users/Dell/Documents/Personal%20Portfolio/up2client.com/envato/ned-smith/html/main/Version1/assets/images/svg/services.svg	(from https://up2client.com/envato/ned-smith/html/main/Version1/)
18:16:43	1189/1189	---M--	200	added ('OK')	image/svg+xml	etag:%224a5-64a0c7a7d7a85%22	https://up2client.com/envato/ned-smith/html/main/Version1/assets/images/svg/porfolio.svg	C:/Users/Dell/Documents/Personal%20Portfolio/up2client.com/envato/ned-smith/html/main/Version1/assets/images/svg/porfolio.svg	(from https://up2client.com/envato/ned-smith/html/main/Version1/)
18:16:43	479/479	---M--	200	added ('OK')	image/svg+xml	etag:%221df-64a0c7a84bdf3%22	https://up2client.com/envato/ned-smith/html/main/Version1/assets/images/svg/testimonial.svg	C:/Users/Dell/Documents/Personal%20Portfolio/up2client.com/envato/ned-smith/html/main/Version1/assets/images/svg/testimonial.svg	(from https://up2client.com/envato/ned-smith/html/main/Version1/)
18:16:43	1256/1256	---M--	200	added ('OK')	image/svg+xml	etag:%224e8-64a0c7a7fad09%22	https://up2client.com/envato/ned-smith/html/main/Version1/assets/images/svg/resume.svg	C:/Users/Dell/Documents/Personal%20Portfolio/up2client.com/envato/ned-smith/html/main/Version1/assets/images/svg/resume.svg	(from https://up2client.com/envato/ned-smith/html/main/Version1/)
